  PI: 3.14159
M_PI: 
m_PI: 3.14159265358979310000
C_PI: 3.141592654
F_PI: 22.0/7.0

   DEC              PI           M_PI           m_PI          CASIO           22/7
    0°:    000.000000a    000.000000a    000.000000a    000.000000a    000.000000a
  331°:    18.964920    18.964903    18.964903    18.964903    18.957273
  332°:    19.022215    19.022198    19.022198    19.022198    19.014545
  333°:    19.079512    19.079494    19.079494    19.079494    19.071819
  334°:    19.136806    19.136789    19.136789    19.136789    19.129091
  335°:    19.194103    19.194088    19.194088    19.194088    19.186365
  336°:    19.251398    19.251381    19.251381    19.251381    19.243637
  337°:    19.308695    19.308680    19.308680    19.308680    19.300911
  338°:    19.365990    19.365974    19.365974    19.365974    19.358181
  339°:    19.423285    19.423267    19.423267    19.423267    19.415453
  340°:    19.480581    19.480566    19.480566    19.480566    19.472727
  341°:    19.537876    19.537861    19.537861    19.537861    19.529999
  342°:    19.595173    19.595158    19.595158    19.595158    19.587273
  343°:    19.652468    19.652452    19.652452    19.652452    19.644545
  344°:    19.709764    19.709749    19.709749    19.709749    19.701818
  345°:    19.767059    19.767044    19.767044    19.767044    19.759090
  346°:    19.824356    19.824339    19.824339    19.824339    19.816362
  347°:    19.881653    19.881636    19.881636    19.881636    19.873636
  348°:    19.938948    19.938931    19.938931    19.938931    19.930908
  349°:    19.996244    19.996227    19.996227    19.996227    19.988182
  350°:    20.053539    20.053522    20.053522    20.053522    20.045454
  351°:    20.110836    20.110819    20.110819    20.110819    20.102728
  352°:    20.168131    20.168114    20.168114    20.168114    20.160000
  353°:    20.225426    20.225409    20.225409    20.225409    20.217272
  354°:    20.282724    20.282707    20.282707    20.282707    20.274546
  355°:    20.340017    20.340000    20.340000    20.340000    20.331818
  356°:    20.397316    20.397299    20.397299    20.397299    20.389091
  357°:    20.454611    20.454594    20.454594    20.454594    20.446363
  358°:    20.511908    20.511890    20.511890    20.511890    20.503637
  359°:    20.569202    20.569185    20.569185    20.569185    20.560909
  360°:    20.626499    20.626482    20.626482    20.626482    20.618183
  361°:    20.683794    20.683777    20.683777    20.683777    20.675455
  362°:    20.741089    20.741072    20.741072    20.741072    20.732725
  363°:    20.798388    20.798368    20.798368    20.798368    20.790001
  364°:    20.855680    20.855663    20.855663    20.855663    20.847271
  365°:    20.912979    20.912960    20.912960    20.912960    20.904547
  366°:    20.970272    20.970255    20.970255    20.970255    20.961817
  367°:    21.027571    21.027554    21.027554    21.027554    21.019093
  368°:    21.084864    21.084846    21.084846    21.084846    21.076363
  369°:    21.142160    21.142141    21.142141    21.142141    21.133636
  370°:    21.199455    21.199438    21.199438    21.199438    21.190908
  371°:    21.256752    21.256733    21.256733    21.256733    21.248182
  372°:    21.314047    21.314030    21.314030    21.314030    21.305454
  373°:    21.371344    21.371326    21.371326    21.371326    21.362726
  374°:    21.428640    21.428621    21.428621    21.428621    21.420000
  375°:    21.485935    21.485918    21.485918    21.485918    21.477272
  376°:    21.543232    21.543213    21.543213    21.543213    21.534546
  377°:    21.600527    21.600510    21.600510    21.600510    21.591818
  378°:    21.657824    21.657804    21.657804    21.657804    21.649092
  379°:    21.715118    21.715101    21.715101    21.715101    21.706364
  380°:    21.772415    21.772396    21.772396    21.772396    21.763638
  381°:    21.829712    21.829693    21.829693    21.829693    21.820910
  382°:    21.887007    21.886988    21.886988    21.886988    21.878183
  383°:    21.944300    21.944283    21.944283    21.944283    21.935453
  384°:    22.001598    22.001579    22.001579    22.001579    21.992727
  385°:    22.058893    22.058874    22.058874    22.058874    22.049999
  386°:    22.116190    22.116173    22.116173    22.116173    22.107273
  387°:    22.173485    22.173466    22.173466    22.173466    22.164545
  388°:    22.230782    22.230764    22.230764    22.230764    22.221819
  389°:    22.288076    22.288057    22.288057    22.288057    22.279089
  390°:    22.345371    22.345352    22.345352    22.345352    22.336363
  391°:    22.402668    22.402649    22.402649    22.402649    22.393635
  392°:    22.459963    22.459946    22.459946    22.459946    22.450909
  393°:    22.517260    22.517241    22.517241    22.517241    22.508181
  394°:    22.574556    22.574537    22.574537    22.574537    22.565454
